ASSERT: 07.01.2019 10:32:24 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 10:32:59 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 10:33:17 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 10:54:37 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 11:01:02 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 11:04:23 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 11:15:44 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 11:17:59 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 11:37:21 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 11:41:31 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 12:47:20 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 12:48:25 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 12:59:30 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 13:36:34 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 14:30:38 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
ASSERT: 07.01.2019 14:33:02 REASON: (pInputIncrementVector->Cross(LocalX).GetLength() > limits::epsilon()), File: rbr_rebar_attributes_i.cpp, Line: 825
